"plot"	"ID"	"sp"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K.conc"	"Mg"	"Mn"	"Na"	"P.conc"	"Zn"	"C"	"N.conc"	"Delta13C"	"Delta15N"	"Cnratio"	"Cpratio"	"Npratio"	"N"	"P"	"K"	"block"	"repl"	"micro"	"tmt"
22	"42326"	"HEISCO"	0.073309191	0.042349735	13.41483804	-0.106397437	0.065105839	8.715013266	4.506035278	0.279394876	0.255560246	1.312331332	0.014772309	47.46288718	2.313166317	-35.90604397	-1.416766236	20.51857959	361.6684753	17.62638948	1	1	0	2	3	0	"NP"
22	"MG002"	"ALSEBL"	0.085625321	0.073527307	12.82189006	-0.015100258	0.111331784	13.72272355	8.651689336	0.073573419	0.851485974	2.243257295	0.016382026	43.01447483	3.994717303	-34.27095498	-1.826800704	10.76783952	191.7500722	17.80766438	1	1	0	2	3	0	"NP"
23	"MG026"	"ALSEBL"	1.087957124	0.059974285	9.959104425	0.016556982	0.98638725	23.51265891	2.99074285	0.193395757	0.381334215	1.136685441	0.017990612	48.83156635	2.241573002	-33.45538803	0.676680471	21.78450861	429.5961276	19.72025788	1	0	0	1	3	0	"N"
23	"9345"	"TET2PA"	0.10899308	0.051928877	7.043673455	0.206798003	0.058450115	7.437529055	3.055921982	0.385947655	1.051740513	0.642650632	0.009320857	43.0700561	1.431094571	-34.93965389	1.312536844	30.09588393	670.1939429	22.26862466	1	0	0	1	3	0	"N"
23	"9280"	"HEISCO"	0.066203384	0.048386898	9.918344224	0.229222729	0.071620751	10.15180735	3.193886866	0.327360983	0.158045303	0.869233003	0.017661517	49.71838623	2.439225856	-34.15127734	1.109190271	20.38285471	571.9799646	28.06181826	1	0	0	1	3	0	"N"
24	"MG025"	"TET2PA"	0.178575501	0.047356782	6.258760078	0.225037836	0.112378431	6.809035008	2.251156405	0.577965266	2.319482921	0.937637477	0.01271187	42.53595609	1.697256531	-36.38282224	0.148101509	25.06159517	453.6503404	18.10141523	0	1	0	1	3	0	"P"
24	"40905"	"HEISCO"	0.131367466	0.052567696	8.411776184	0.013585731	0.113380049	10.18408191	3.904230743	0.099365355	0.256164703	2.464024917	0.015958752	50.56684482	2.246867713	-34.92221612	0.513356027	22.50548375	205.2205092	9.118689093	0	1	0	1	3	0	"P"
24	"10290"	"ALSEBL"	0.122399125	0.067774607	6.850892063	0.009971498	0.121832416	22.77662941	3.542288987	0.123476565	1.166126852	1.973631943	0.016789537	43.33667801	3.426329435	-34.09922175	1.911620011	12.64813522	219.5783168	17.36052888	0	1	0	1	3	0	"P"
25	"MG042"	"TET2PA"	0.09048525	0.049044152	5.76085128	0.00737305	0.05355047	9.969290598	2.18996053	0.325199053	1.264486027	0.722784456	0.01119441	42.41515	1.503706315	-35.615551	1.463158511	28.20707047	586.8298584	20.80435326	0	0	0	0	0	1	"MICRO"
25	"MG044"	"HEISCO"	0.05660097	0.066443578	11.86304854	0.007410647	0.065475702	7.50541297	4.761453746	0.145568851	0.396447541	0.768332534	0.019124701	47.8955077	2.306227196	-36.00861775	0.88834481	20.76790517	623.3695122	30.0160034	0	0	0	0	0	1	"MICRO"
25	"MG046"	"ALSEBL"	0.179859626	0.075562659	14.00559076	0.026091194	0.215177313	28.55867137	5.293426502	0.08340249	1.671804896	1.147963136	0.028936989	42.40901186	3.768601441	-34.23718976	1.340119157	11.25324939	369.4283426	32.82859287	0	0	0	0	0	1	"MICRO"
26	"7339"	"HEISCO"	0.078391139	0.057006244	12.16140593	0.001591667	0.075455051	13.04534875	4.083705381	0.183458114	0.147301958	0.819891768	0.016047591	49.46581277	2.218124641	-35.53169895	-0.152461521	22.30073633	603.3212513	27.05387133	0	0	0	2	3	0	"CTL"
26	"7287"	"TET2PA"	0.096753144	0.067805283	7.458527132	0.002371856	0.065392384	6.496939368	2.112171336	0.503359097	1.501708966	0.679190775	0.011802962	41.18227713	1.540530489	-35.42234989	0.394399128	26.73252974	606.3432933	22.68185237	0	0	0	2	3	0	"CTL"
26	"MG001"	"ALSEBL"	0.086032458	0.052553568	10.15225575	0.004034265	0.097770094	29.01812047	3.721019539	0.056650858	0.473513435	1.376140129	0.026606543	42.96333149	3.456794891	-35.52608434	0.632545274	12.42866089	312.2017197	25.11949778	0	0	0	2	3	0	"CTL"
27	"11791"	"ALSEBL"	0.181613806	0.042208188	8.893633971	0.024651494	0.021513668	31.89255889	4.528002068	0.082982435	0.475017591	1.123006957	0.020964064	43.06907644	4.151888281	-34.0598531	-1.507405264	10.37337075	383.515669	36.97117151	1	0	1	2	3	0	"NK"
27	"417522"	"TET2PA"	0.13659798	0.056874802	5.831380983	0.004417296	0.081984546	7.281973153	2.157865353	0.409130662	0.828355098	0.709638449	0.010489077	43.76533934	1.515617404	-34.41791646	0.395477845	28.87624492	616.727284	21.35759985	1	0	1	2	3	0	"NK"
27	"43516"	"HEISCO"	0.063978167	0.039212529	5.367897404	0.002288162	0.066228922	11.7516981	3.564646832	0.382363494	0.203582553	0.943376375	0.017520155	49.75936046	2.52267131	-34.82901922	-0.703281331	19.72486874	527.4603201	26.74087859	1	0	1	2	3	0	"NK"
28	"MG028"	"TET2PA"	0.132443728	0.053180639	5.996999768	0.115706354	0.094513928	5.694970565	2.633026471	0.494830033	1.28284005	0.684583234	0.012556088	43.0895958	1.578347633	-34.88371549	0.700853055	27.30044694	629.4281495	23.05559872	1	0	0	1	4	0	"N"
28	"MG027"	"ALSEBL"	0.163862768	0.067649468	9.6576906	0.21806582	0.154902675	21.96963375	3.459054979	0.221814128	1.060303715	1.093047731	0.020188672	43.34538638	4.163739251	-35.0125954	0.408230343	10.41020673	396.5552934	38.09293165	1	0	0	1	4	0	"N"
28	"15163"	"HEISCO"	0.065653281	0.034329333	8.548700257	0.199265755	0.060302145	11.42004322	3.844336877	0.281472524	0.277341951	0.809568458	0.014848311	48.72907842	2.255309428	-35.94077293	0.06985595	21.60638262	601.9142413	27.85816821	1	0	0	1	4	0	"N"
29	"10696"	"HEISCO"	0.110628686	0.057227824	8.231811407	0.076574366	0.099259394	11.94799656	3.788629613	0.257742693	0.240443925	1.163273495	0.021303894	49.50106014	2.605904868	-35.03275674	1.441880417	18.99572802	425.5324338	22.40148065	1	1	1	1	4	0	"NPK"
29	"MG029"	"ALSEBL"	0.233381709	0.071428084	12.16847153	0.176071612	0.215008198	26.08632661	4.817282818	0.102187212	2.124510988	1.75183412	0.019311242	42.75263149	3.936656837	-33.90361655	2.025017352	10.86013672	244.0449755	22.47163012	1	1	1	1	4	0	"NPK"
29	"MG030"	"TET2PA"	0.099582633	0.044402962	4.773742686	0.217561873	0.081346907	6.515227202	2.260782353	0.461164662	1.306073449	1.186532429	0.010991199	44.15254718	1.894792578	-35.02212006	1.924386852	23.30204778	372.114121	15.96915964	1	1	1	1	4	0	"NPK"
30	"10399"	"HEISCO"	0.080618855	0.074788844	16.65114782	0.006610423	0.079938768	6.126493164	4.422575964	0.261219414	0.625663822	0.90640577	0.014849357	48.59220379	2.123514701	-34.8384205	0.526786983	22.88291377	536.0976884	23.42785949	0	1	0	1	4	0	"P"
30	"2332"	"TET2PA"	0.113899937	0.061989874	7.267019926	0.006339214	0.084478022	5.488505997	2.931971704	0.235167319	1.569257889	1.018653375	0.009061167	42.49416989	1.666411176	-33.7871607	0.833857916	25.50041099	417.1602524	16.35896192	0	1	0	1	4	0	"P"
